Time,Gas Consumption,Voltage ,Current,Engine Load,P.F,Electric Power Output,Bkw,Bsfc,Exhaust Gas Temp.,Cooling Water Inlet Temp. ,Cooling Water Outlet Temp. 
10.00,526,399,1681,5043,0.95,1103.63,3310.90,0.1589,574.9,,89
11.00,,399,1875,5625,0.96,1243.96,3731.87,0.1409,573.6,,89
12.00,,400,1877,5631,0.96,1248.41,3745.22,0.1404,576.1,,90
13.00,,400,1980,5940,0.96,1316.91,3950.74,0.1331,577.0,,90
14.00,,400,1982,5820,0.97,1331.97,3911.25,0.1345,575.9,,88
15.00,,399,2011,6033,0.97,1348.08,4044.25,0.1301,578.8,,90
16.00,,401,1870,5610,0.97,1259.85,3779.54,0.1392,576.1,,89
17.00,,400,1822,5466,0.97,1224.45,3673.35,0.1432,576.9,,89
18.00,,400,1631,4893,0.97,1096.09,3288.27,0.1600,573.1,,89
19.00,,400,1695,5085,0.98,1150.84,3452.53,0.1524,576.6,,88
20.00,,400,1560,4680,0.98,1059.18,3177.55,0.1655,573.5,,89
21.00,,400,1591,4773,0.98,1080.23,3240.69,0.1623,573.1,,88
22.00,,400,1337,3997,0.98,907.77,2713.82,0.1938,567.6,,88
23.00,,400,1330,4005,0.98,903.02,2719.25,0.1934,568.0,,88
24.00,,400,1406,4233,0.98,954.62,2874.05,0.1830,569.5,,88
